,Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
1,LAL,1,19/10/2021,Home,GSW,L,114,121,45,95,0.474,15,42,0.357,9,19,0.474,5,45,21,7,4,17,25,41,93,0.441,14,39,0.359,25,30,0.833,9,50,30,9,2,17,18
2,LAL,2,22/10/2021,Home,PHO,L,105,115,34,86,0.395,15,34,0.441,22,29,0.759,12,46,25,7,3,16,26,42,86,0.488,10,32,0.313,21,28,0.75,7,47,31,8,2,11,22
3,LAL,3,24/10/2021,Home,MEM,W,121,118,45,84,0.536,16,30,0.533,15,22,0.682,9,36,29,10,12,17,14,45,100,0.45,13,35,0.371,15,18,0.833,18,49,25,13,4,17,20
4,LAL,4,26/10/2021,Away,SAS,W,125,121,50,105,0.476,8,30,0.267,17,22,0.773,9,56,20,8,10,13,21,48,108,0.444,13,36,0.361,12,22,0.545,16,59,33,10,6,15,22
5,LAL,5,27/10/2021,Away,OKC,L,115,123,46,92,0.5,11,35,0.314,12,14,0.857,10,40,29,8,2,17,22,43,86,0.5,15,37,0.405,22,29,0.759,10,42,21,8,3,15,16
6,LAL,6,29/10/2021,Home,CLE,W,113,101,46,84,0.548,12,27,0.444,9,10,0.9,11,42,24,9,6,20,20,37,87,0.425,12,34,0.353,15,22,0.682,16,36,28,10,1,15,13
7,LAL,7,31/10/2021,Home,HOU,W,95,85,39,96,0.406,9,31,0.29,8,13,0.615,10,43,22,15,9,12,20,32,76,0.421,6,28,0.214,15,29,0.517,10,55,18,8,3,25,18
8,LAL,8,02/11/2021,Home,HOU,W,119,117,49,93,0.527,6,25,0.24,15,20,0.75,11,43,26,10,4,17,19,48,91,0.527,16,42,0.381,5,12,0.417,11,38,27,8,4,24,21
9,LAL,9,04/11/2021,Home,OKC,L,104,107,39,94,0.415,12,33,0.364,14,17,0.824,16,49,22,8,5,13,21,37,87,0.425,15,41,0.366,18,26,0.692,12,50,23,7,2,16,16
10,LAL,10,06/11/2021,Away,POR,L,90,105,31,90,0.344,9,32,0.281,19,24,0.792,11,59,20,8,5,19,17,36,95,0.379,15,55,0.273,18,24,0.75,12,52,22,14,7,11,21
11,LAL,11,08/11/2021,Home,CHO,W,126,123,44,91,0.484,13,32,0.406,25,35,0.714,8,51,30,11,8,15,23,43,99,0.434,14,42,0.333,23,28,0.821,14,55,23,5,3,18,23
12,LAL,12,10/11/2021,Home,MIA,W,120,117,46,92,0.5,18,38,0.474,10,16,0.625,9,50,26,5,6,22,27,40,96,0.417,10,37,0.27,27,35,0.771,11,47,26,14,2,14,25
13,LAL,13,12/11/2021,Home,MIN,L,83,107,29,82,0.354,9,41,0.22,16,20,0.8,11,44,17,12,8,19,14,43,94,0.457,12,37,0.324,9,12,0.75,14,54,24,10,4,16,21
14,LAL,14,14/11/2021,Home,SAS,W,114,106,43,83,0.518,15,31,0.484,13,17,0.765,9,46,28,6,5,14,16,40,90,0.444,16,36,0.444,10,15,0.667,11,43,28,9,2,15,17
15,LAL,15,15/11/2021,Home,CHI,L,103,121,36,79,0.456,6,32,0.188,25,31,0.806,8,43,19,10,5,17,15,49,89,0.551,15,34,0.441,8,11,0.727,4,36,31,9,2,16,21
16,LAL,16,17/11/2021,Away,MIL,L,102,109,40,96,0.417,12,43,0.279,10,12,0.833,11,48,24,8,4,13,19,40,87,0.46,12,37,0.324,17,24,0.708,9,52,22,9,4,15,10
17,LAL,17,19/11/2021,Away,BOS,L,108,130,39,84,0.464,12,30,0.4,18,24,0.75,7,33,20,5,6,12,29,44,88,0.5,11,30,0.367,31,38,0.816,12,51,22,7,2,12,20
18,LAL,18,21/11/2021,Away,DET,W,121,116,45,92,0.489,10,31,0.323,21,27,0.778,12,51,29,7,8,13,21,43,97,0.443,14,40,0.35,16,21,0.762,8,39,27,7,6,11,24
19,LAL,19,23/11/2021,Away,NYK,L,100,106,34,91,0.374,11,36,0.306,21,30,0.7,13,50,23,8,3,12,17,37,82,0.451,15,34,0.441,17,21,0.81,7,52,23,7,4,14,23
20,LAL,20,24/11/2021,Away,IND,W,124,116,42,95,0.442,15,37,0.405,25,29,0.862,9,52,20,5,4,11,21,42,104,0.404,13,46,0.283,19,24,0.792,14,52,25,3,5,11,25
21,LAL,21,26/11/2021,Home,SAC,L,137,141,51,102,0.5,15,44,0.341,20,28,0.714,9,51,32,9,6,19,27,54,120,0.45,14,45,0.311,19,29,0.655,16,56,32,11,4,13,26
22,LAL,22,28/11/2021,Home,DET,W,110,106,43,86,0.5,9,32,0.281,15,25,0.6,6,42,32,11,8,12,18,38,89,0.427,13,33,0.394,17,19,0.895,12,53,29,5,4,17,20
23,LAL,23,30/11/2021,Away,SAC,W,117,92,46,92,0.5,11,28,0.393,14,20,0.7,10,47,21,10,6,14,20,35,79,0.443,6,29,0.207,16,22,0.727,9,40,22,11,4,19,21
24,LAL,24,03/12/2021,Home,LAC,L,115,119,45,90,0.5,12,33,0.364,13,21,0.619,13,43,28,8,3,11,19,41,81,0.506,16,35,0.457,21,24,0.875,6,34,28,5,3,9,19
25,LAL,25,07/12/2021,Home,BOS,W,117,102,48,93,0.516,8,27,0.296,13,17,0.765,13,51,25,7,4,14,21,36,82,0.439,10,33,0.303,20,29,0.69,7,34,27,8,4,13,16
26,LAL,26,09/12/2021,Away,MEM,L,95,108,36,78,0.462,12,30,0.4,11,17,0.647,7,45,26,8,6,22,15,41,94,0.436,14,42,0.333,12,18,0.667,14,47,28,18,5,11,14
27,LAL,27,10/12/2021,Away,OKC,W,116,95,41,87,0.471,19,42,0.452,15,20,0.75,12,47,23,12,3,16,14,38,96,0.396,10,44,0.227,9,14,0.643,19,51,21,9,3,15,17
28,LAL,28,12/12/2021,Home,ORL,W,106,94,41,84,0.488,13,28,0.464,11,17,0.647,6,44,24,12,11,13,17,33,88,0.375,13,38,0.342,15,19,0.789,14,47,17,6,4,18,13
